"PAID","Year","CID","Conflict","pa_name","mean_rstr","int_low_rstr","int_hi_rstr","mean_full","int_low_full","int_hi_full"
8401995101301,1995,10,"Philippines: government","GRP-RAM/SFP/YOU General Agreement for Peace",0.0792186085965934,-1.11384788291567,1.23075664661352,0.067915527928991,-1.10682208797027,1.24333703064986
901990033001,1990,36,"Guatemala: government","The Oslo Accord",-1.94532095300708,-5.23118847429352,-0.290073533445297,-1.86878420889921,-5.0119830056894,-0.303195301434117
901991042601,1991,36,"Guatemala: government","The Mexico Accord",-1.9465613547067,-5.05780121542955,-0.30858287203508,-1.87280172915538,-5.1001037481492,-0.279775412970084
901991072501,1991,36,"Guatemala: government","The Querétaro Agreement",-0.770973616686995,-2.80598941034432,0.401968109566132,-0.745036826727708,-2.70281227165213,0.408892260110262
901994062301,1994,36,"Guatemala: government","The Agreement for the Establishment of the Commission to Clarify Past Human Rights Violations and Acts of Violence that have Caused the Guatemalan Population to Suffer",-1.31251000205966,-3.92510095599509,0.0567216978988354,-1.31636273042625,-3.86115833574902,0.0120553215840403
901994032901,1994,36,"Guatemala: government","The Agreement on a Timetable for Negotiations on a Firm and Lasting Peace in Guatemala",-1.94753650429413,-5.15687970525682,-0.304725261364049,-1.86492890949269,-4.88523589298091,-0.293066049106821
901994061701,1994,36,"Guatemala: government","The Agreement on the Resettlement of Population Groups Uprooted by the Armed Conflict",-1.35618802818964,-4.11901206101888,0.0382853694416674,-1.26429647343986,-3.79129696449436,0.0631644274325072
901994032902,1994,36,"Guatemala: government","The Comprehensive Agreement on Human Rights",-1.307759450318,-3.7422945345578,0.0446808939643238,-1.30810596991058,-3.83040767855727,0.0118284073162304
901994011001,1994,36,"Guatemala: government","The Framework Agreement for the Resumption of Negotiations between the Government of Guatemala and the Guatemalan National Revolutionary Unity",-1.27798787538895,-3.73889657232436,0.0575608031859354,-1.29294248979038,-3.79333668088071,0.0297728690401009
901995033101,1995,36,"Guatemala: government","The Agreement on the Identity and Rights of Indigenous Peoples",-1.29294115677172,-3.91026363997332,0.0530956083568506,-1.29099613394045,-3.84833601812159,0.0614564028549925
901996122901,1996,36,"Guatemala: government","The Agreement for a Firm and Lasting Peace",,,,-0.0947449566753052,-1.4713354059798,1.00707610615196
901996120401,1996,36,"Guatemala: government","The Agreement on a Definitive Ceasefire",,,,-0.375450604945695,-1.86814014770747,0.722665828190423
901996120701,1996,36,"Guatemala: government","The Agreement on Constitutional Reforms and the Electoral Regime",,,,-0.776374337187422,-2.70829969587878,0.381649451672689
901996050601,1996,36,"Guatemala: government","The Agreement on Socio-economic Aspects and the Agrarian Situation",,,,-1.2899778708272,-3.69835016935364,0.018745453823323
901996121201,1996,36,"Guatemala: government","The Agreement on the Basis for the Legal Integration of the URNG",,,,-0.069662581144996,-1.34849215913442,1.06951735417477
901996122902,1996,36,"Guatemala: government","The Agreement on the Implementation, Compliance and Verification Timetable for the Peace Agreements",,,,0.268006534838788,-0.84340721290017,1.46781522441619
901996091901,1996,36,"Guatemala: government","The Agreement on the Strengthening of Civilian Power and the Role of the Armed Forces in a Democratic Society",,,,-0.767704705505849,-2.66145920139726,0.394562371892789
6661993091301,1993,37,"Israel: Palestine","Declaration of Principles on Interim Self-Government Arrangements/ Oslo Agreement",-1.95734038055089,-5.22146976842377,-0.301854820061606,-1.86164851806376,-5.03664565192799,-0.296552173156434
6661994082901,1994,37,"Israel: Palestine","Agreement on Preparatory Transfer of Powers and Responsibilities Between Israel and the PLO",-1.31833881340452,-3.81611907973467,0.0321259055585578,-1.33972614966519,-3.91239551193968,-0.0039736998808286
6661994050401,1994,37,"Israel: Palestine","Agreement on the Gaza Strip and the Jericho Area",-1.97249276638025,-5.31944654078309,-0.30581211973071,-1.85514957006732,-4.88583524979529,-0.294250029398846
6661995092801,1995,37,"Israel: Palestine","Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip/ Oslo B",-1.2030858499391,-3.5168062567038,0.103978522266018,-1.23101475937816,-3.69543400642816,0.0671407909759401
6661997011501,1997,37,"Israel: Palestine","Protocol on Redeployment in Hebron",,,,-0.844895956639407,-2.84885734877858,0.329387194347947
6661998102301,1998,37,"Israel: Palestine","The Wye River Memorandum",,,,-0.821869648117892,-2.81963165237119,0.362427384113786
6661999090401,1999,37,"Israel: Palestine","The Sharm el-Sheik Memorandum Wye II",,,,-0.844996955043293,-2.85128981134897,0.349001134270513
4901999071001,1999,86,"DR Congo (Zaire): government","Lusaka Accord",1.04042909554672,0.0854047716654616,2.69487539580683,0.972354345554184,0.0235815857146742,2.65349783312528
4902001050401,2001,86,"DR Congo (Zaire): government","Declaration of Fundamental Principles for the Inter-Congolese dialogue",0.563641421785119,-0.427322832832678,1.86621950992724,0.504987233722105,-0.507329992733936,1.83292266343339
4902002121601,2002,86,"DR Congo (Zaire): government","Global and Inclusive Agreement on the Transition in the Democratic Republic of Congo",,,,1.51378783096699,0.45466310388818,3.71560296900291
4902002041601,2002,86,"DR Congo (Zaire): government","Political agreement on consensual management of the transition in the Democratic Republic of the Congo",,,,0.567459216413738,-0.41261749526229,1.93764453951363
4902003040201,2003,86,"DR Congo (Zaire): government","Inter-Congolese Political Negotiations - The Final Act",,,,1.236156212038,0.243079608578335,3.17831603892381
5162000082801,2000,90,"Burundi: government","Arusha Peace and Reconciliation Agreement for Burundi",2.53927668998161,1.06145937789703,5.67834083669553,2.53784590593536,1.0648998920474,5.87481754220699
5162002120201,2002,90,"Burundi: government","Ceasefire Agreement between the Transitional Government of Burundi and the Conseil national pour la défense de ladémocratie-Forces pour la défense de la démocratie",2.02126308440393,0.779306394640295,4.61358374007416,1.92852837937944,0.705414313393973,4.53052545221387
